"Nom","Code postal","Pays","État","Hub de rattachement","ID"
"SBAA AYOUN  ","19585","Maroc","Fès-Meknès (MA)","HUB_MEKNES","19585"
"SBOUYA​","19586","Maroc","Guelmim-Oued Noun (MA)","HUB_GUELMIM","19586"
"SEBAA ROUADI  ","19587","Maroc","Fès-Meknès (MA)","HUB_FES","19587"
"SEBT BNI FRASSEN  ","19588","Maroc","Fès-Meknès (MA)","HUB_FES","19588"
"SEBT BNI IKHLEF  ","19589","Maroc","Béni Mellal-Khénifra (MA)","HUB_KHOURIBGA","19589"
"SEBT EL GUIRDANE​","19590","Maroc","Souss-Massa (MA)","HUB_AGADIR","19590"
"SEBT GEZOULA​","19591","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19591"
"SEBT GZOULA​","19592","Maroc","Marrakech-Safi (MA)","HUB_SAFI","19592"
"SEBT RMEL  ","19593","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19593"
"SEFRO  ","19594","Maroc","Fès-Meknès (MA)","HUB_FES","19594"
"SEFSAF  ","19595","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19595"
"SELOUANE  ","19596","Maroc","L'Oriental (MA)","HUB_NADOR","19596"
"SETTAT ","19597","Maroc","Casablanca-Settat (MA)","HUB_SETTAT","19597"
"SFAFAA  ","19598","Maroc","Rabat-Salé-Kénitra (MA)","HUB_KENITRA","19598"
